order_id,seller_id,rider_id,cluster_id,scheduled_time,delivered_time,pickup_latitude,pickup_longitude,delivered_latitude,delivered_longitude
Number,Number,Number,Number,Date,Date,Number,Number,Number,Number
1865297,2213,2765,56,4/3/2016 5:01,4/3/2016 5:42,12.90595198,77.58556858,12.88468,77.582
1866145,2287,3368,91,4/3/2016 5:50,NULL,12.9658318,77.7166191,12.96294,77.7123
1866147,343,973,41,4/3/2016 5:50,4/3/2016 6:15,12.959203,77.653895,12.9598,77.649
1866159,2287,3316,91,4/3/2016 5:50,4/3/2016 5:59,12.9658318,77.7166191,12.96294,77.7123
1866218,2313,3424,56,4/3/2016 5:51,NULL,12.9062901,77.5930025,12.90162,77.582
1866341,310,1385,39,4/3/2016 6:02,4/3/2016 6:27,12.976993,77.6407623,12.97189,77.64115
1866406,2357,2158,52,4/3/2016 6:03,4/3/2016 6:48,12.91662688,77.60622025,12.926124,77.60707
1866466,2287,3316,91,4/3/2016 6:08,4/3/2016 7:21,12.9658318,77.7166191,12.96294,77.7123
1866472,2287,3502,91,4/3/2016 6:09,NULL,12.9658318,77.7166191,12.96294,77.7123
1866501,2243,3052,96,4/3/2016 6:07,NULL,12.8904418,77.5980522,12.88512,77.62068
1866532,2357,2373,52,4/3/2016 6:11,4/3/2016 6:34,12.91662688,77.60622025,12.8963,77.6357
1866553,655,1281,100,4/3/2016 6:12,4/3/2016 6:43,12.92514,77.55054,12.9624,77.56839
1866630,655,1303,100,4/3/2016 6:18,NULL,12.92514,77.55054,12.9624,77.56839
1866633,2357,2373,52,4/3/2016 6:19,4/3/2016 6:41,12.91662688,77.60622025,12.9151,77.6128
1866636,343,972,41,4/3/2016 6:17,4/3/2016 6:50,12.959203,77.653895,12.9657,77.657
1866642,1991,1267,52,4/3/2016 6:18,4/3/2016 6:42,12.9167593,77.5926123,12.91049,77.58572
1866778,1972,3105,41,4/3/2016 6:24,4/3/2016 6:37,12.9592262,77.6563067,12.959561,77.649
1866780,655,1281,100,4/3/2016 6:27,NULL,12.92514,77.55054,12.9408,77.54529
1866785,1972,3105,41,4/3/2016 6:27,4/3/2016 6:37,12.9592262,77.6563067,12.9598,77.649
1866788,1458,2515,74,4/3/2016 6:28,NULL,12.9558901,77.7083171,12.9512,77.69977
1866855,655,3673,100,4/3/2016 6:31,4/3/2016 6:57,12.92514,77.55054,12.92128,77.54229
1866871,693,2565,42,4/3/2016 6:35,4/3/2016 6:54,12.9126074,77.6504847,12.91,77.64
1866875,310,2583,39,4/3/2016 6:35,4/3/2016 8:07,12.976993,77.6407623,12.99042,77.68417
1866921,928,2217,38,4/3/2016 6:35,NULL,12.9397732,77.6252842,12.93628,77.6128
1866926,310,2583,39,4/3/2016 6:38,4/3/2016 8:41,12.976993,77.6407623,12.99042,77.68417
1866999,1972,3149,41,4/3/2016 6:41,NULL,12.9592262,77.6563067,12.9535,77.64364
1867134,310,3520,39,4/3/2016 6:40,NULL,12.976993,77.6407623,12.97189,77.64115
1867142,1972,3149,41,4/3/2016 6:43,4/3/2016 7:08,12.9592262,77.6563067,12.9538312,77.6583346
1867144,310,788,39,4/3/2016 6:41,4/3/2016 7:09,12.976993,77.6407623,12.98147,77.61921
1867157,929,2131,38,4/3/2016 6:42,4/3/2016 7:21,12.9346098,77.6112879,12.943208,77.61042
1867161,693,992,42,4/3/2016 6:45,4/3/2016 7:03,12.9126074,77.6504847,12.92,77.64
1867178,310,3520,39,4/3/2016 6:46,NULL,12.976993,77.6407623,12.97189,77.64115
1867216,310,788,39,4/3/2016 6:48,4/3/2016 7:14,12.976993,77.6407623,12.98147,77.61921
1867222,2287,3368,91,4/3/2016 6:48,4/3/2016 7:09,12.9658318,77.7166191,12.96294,77.7123
1867241,2287,3368,91,4/3/2016 6:48,4/3/2016 7:22,12.9658318,77.7166191,12.96294,77.7123
1867256,2287,2992,91,4/3/2016 6:51,4/3/2016 7:06,12.9658318,77.7166191,12.96294,77.7123
1867286,693,2565,42,4/3/2016 6:50,4/3/2016 7:04,12.9126074,77.6504847,12.91,77.65
1867288,2287,3502,91,4/3/2016 6:52,NULL,12.9658318,77.7166191,12.96294,77.7123
1867293,2287,2992,91,4/3/2016 6:50,4/3/2016 7:07,12.9658318,77.7166191,12.96294,77.7123
1867301,2287,3368,91,4/3/2016 6:51,4/3/2016 7:09,12.9658318,77.7166191,12.96294,77.7123
1867308,2316,2256,53,4/3/2016 6:51,4/3/2016 8:16,12.92597558,77.67533541,12.93128,77.68624
1867312,928,789,38,4/3/2016 6:52,4/3/2016 7:17,12.9397732,77.6252842,12.93317,77.62794
1867345,310,2582,39,4/3/2016 6:54,4/3/2016 8:09,12.976993,77.6407623,12.98457,77.6622
1867365,2614,1492,52,4/3/2016 6:55,4/3/2016 7:57,12.89962196,77.59486389,12.9151,77.6128
1867398,1972,2363,41,4/3/2016 6:57,NULL,12.9592262,77.6563067,12.9458,77.64932
1867400,2213,3183,56,4/3/2016 6:59,4/3/2016 7:12,12.90595198,77.58556858,12.9118,77.58905
1867437,2614,1492,52,4/3/2016 7:02,4/3/2016 7:44,12.89962196,77.59486389,12.9151,77.6128
1867456,1972,3105,41,4/3/2016 7:01,NULL,12.9592262,77.6563067,12.9598,77.649
1867464,2308,2243,42,4/3/2016 7:05,4/3/2016 7:25,12.9074821,77.6491524,12.89805,77.65504
1867469,343,973,41,4/3/2016 7:05,4/3/2016 7:30,12.959203,77.653895,12.96008,77.64416
1867472,2314,3671,96,4/3/2016 7:05,4/3/2016 7:30,12.8881982,77.5976316,12.89041,77.59809
1867489,2333,2927,39,4/3/2016 7:07,4/3/2016 7:48,12.9782741,77.6385595,12.96008,77.64416
1867516,2093,2480,42,4/3/2016 7:08,NULL,12.9083403,77.6514987,12.9589602,77.5846652
1867555,655,1303,100,4/3/2016 7:10,NULL,12.92514,77.55054,12.93564,77.54933
1867577,343,3105,41,4/3/2016 7:09,NULL,12.959203,77.653895,12.96997,77.66721
1867580,2614,1492,52,4/3/2016 7:12,4/3/2016 7:57,12.89962196,77.59486389,12.9151,77.6128
1867587,2461,3044,96,4/3/2016 7:10,NULL,12.8893659,77.5975252,12.891726,77.600087
1867591,2207,1984,52,4/3/2016 7:13,4/3/2016 7:34,12.9152689,77.620126,12.91757,77.60811
1867602,655,1281,100,4/3/2016 7:11,4/3/2016 7:58,12.92514,77.55054,12.9278,77.5548
1867605,2243,3267,96,4/3/2016 7:11,NULL,12.8904418,77.5980522,12.91396,77.60012
1867608,655,1281,100,4/3/2016 7:14,4/3/2016 7:58,12.92514,77.55054,12.9278,77.5548
1867628,2287,3502,91,4/3/2016 7:15,4/3/2016 9:04,12.9658318,77.7166191,12.96294,77.7123
1867662,2313,3424,56,4/3/2016 7:15,NULL,12.9062901,77.5930025,12.90056,77.58916
1867667,2287,2992,91,4/3/2016 7:15,4/3/2016 9:04,12.9658318,77.7166191,12.96294,77.7123
1867674,310,1385,39,4/3/2016 7:14,NULL,12.976993,77.6407623,12.97189,77.64115
1867676,1458,3614,74,4/3/2016 7:14,NULL,12.9558901,77.7083171,12.9589602,77.5846652
1867684,1379,1711,52,4/3/2016 7:17,4/3/2016 7:31,12.9215955,77.6203654,12.9151,77.6128
1867691,2092,2565,42,4/3/2016 7:17,4/3/2016 7:35,12.9113679,77.6521828,12.9066,77.6463
1867707,655,3673,100,4/3/2016 7:20,4/3/2016 7:47,12.92514,77.55054,12.9192,77.5421
1867717,2308,2243,42,4/3/2016 7:18,4/3/2016 7:41,12.9074821,77.6491524,12.9066,77.6463
1867719,310,788,39,4/3/2016 7:19,4/3/2016 7:51,12.976993,77.6407623,12.97688,77.64932
1867748,2174,962,42,4/3/2016 7:23,NULL,12.9122182,77.642148,12.89836,77.61795
1867754,2313,3425,56,4/3/2016 7:21,NULL,12.9062901,77.5930025,12.91264,77.57627
1867771,2207,3186,52,4/3/2016 7:24,4/3/2016 7:55,12.9152689,77.620126,12.91757,77.60811
1867799,693,2565,42,4/3/2016 7:22,4/3/2016 8:12,12.9126074,77.6504847,12.93,77.66
1867825,2077,3398,100,4/3/2016 7:25,4/3/2016 7:49,12.9244899,77.5651683,12.9204,77.5671
1867864,693,2565,42,4/3/2016 7:29,4/3/2016 8:27,12.9126074,77.6504847,12.93,77.66
1867866,928,2433,38,4/3/2016 7:27,4/3/2016 7:46,12.9397732,77.6252842,12.9429,77.6132
1867882,693,3319,42,4/3/2016 7:28,NULL,12.9126074,77.6504847,12.91,77.65
1867883,2606,3349,41,4/3/2016 7:28,NULL,12.9590032,77.6591177,12.9591,77.6579
1867892,2606,3349,41,4/3/2016 7:31,NULL,12.9590032,77.6591177,12.9598,77.649
1867894,2243,3267,96,4/3/2016 7:32,NULL,12.8904418,77.5980522,12.8928,77.5989
1867924,2093,2480,42,4/3/2016 7:34,NULL,12.9083403,77.6514987,12.9589602,77.5846652
1867940,2092,2243,42,4/3/2016 7:33,4/3/2016 8:37,12.9113679,77.6521828,12.9086,77.66375
1867947,693,3319,42,4/3/2016 7:36,NULL,12.9126074,77.6504847,12.91,77.64
1867949,2614,2373,52,4/3/2016 7:36,4/3/2016 7:56,12.89962196,77.59486389,12.9118,77.58905
1867955,1379,1986,52,4/3/2016 7:34,4/3/2016 8:10,12.9215955,77.6203654,12.89836,77.61795
1867958,1458,2515,74,4/3/2016 7:36,NULL,12.9558901,77.7083171,12.9589602,77.5846652
1867979,2207,1050,52,4/3/2016 7:36,4/3/2016 8:20,12.9152689,77.620126,12.91757,77.60811
